#Measurements from IMU
#Number of channels: 9
#Number of samples: 2283
#Frequency: 200.000 Hz
#Unit system: SI

#Time	Roll	Pitch	Yaw	Angular velocity X	Angular velocity Y	Angular velocity Z	Linear acceleration X	Linear acceleration Y	Linear acceleration Z
1.250	0.000	0.115	-0.000	0.058	0.062	0.129	0.500	-0.012	-0.500
1.255	0.000	0.115	-0.000	0.108	0.111	0.191	0.500	0.011	-0.500
1.260	0.000	0.116	-0.000	-0.037	-0.003	-0.085	0.500	0.007	-0.500
1.265	0.000	0.116	-0.000	-0.050	0.033	-0.019	0.500	-0.001	-0.500
1.270	0.000	0.116	-0.000	0.016	0.111	-0.052	0.500	-0.017	-0.500
1.275	0.000	0.116	-0.000	0.104	0.078	-0.032	0.500	0.001	-0.500
1.280	0.000	0.117	-0.000	-0.024	0.111	0.004	0.500	-0.002	-0.500
1.285	0.000	0.117	-0.000	0.000	-0.041	-0.083	0.500	-0.007	-0.500
1.290	0.000	0.117	-0.000	-0.058	0.088	-0.047	0.500	-0.002	-0.500
1.295	0.000	0.117	-0.000	-0.123	0.028	0.130	0.500	0.003	-0.500
1.300	0.000	0.118	-0.000	0.051	0.135	0.127	0.500	0.004	-0.500
1.305	0.000	0.118	-0.000	-0.011	-0.009	0.032	0.500	-0.004	-0.500
1.310	0.000	0.118	-0.001	0.003	0.064	-0.003	0.500	-0.004	-0.500
1.315	0.000	0.118	-0.001	-0.025	0.079	0.131	0.500	0.012	-0.500
1.320	0.000	0.119	-0.001	0.069	0.096	-0.128	0.500	-0.017	-0.500
1.325	0.000	0.119	-0.001	-0.025	0.063	0.045	0.500	0.005	-0.500
1.330	0.000	0.119	-0.001	0.077	-0.065	-0.055	0.500	0.001	-0.500
1.335	0.000	0.119	-0.001	0.046	0.097	0.015	0.500	0.015	-0.500
1.340	0.000	0.120	-0.001	0.032	-0.013	-0.006	0.500	-0.008	-0.500
1.345	0.000	0.120	-0.001	0.019	0.033	0.013	0.500	-0.013	-0.500
1.350	0.000	0.120	-0.001	0.009	0.029	0.039	0.500	-0.001	-0.500
1.355	0.000	0.120	-0.001	-0.015	0.062	-0.142	0.500	0.005	-0.500
1.360	0.000	0.120	-0.001	-0.076	-0.018	-0.038	0.500	-0.009	-0.500
1.365	0.000	0.121	-0.001	-0.074	0.069	-0.054	0.500	-0.004	-0.500
1.370	0.000	0.121	-0.001	0.058	0.108	0.000	0.500	-0.009	-0.500
1.375	0.000	0.121	-0.001	-0.041	0.147	-0.020	0.500	0.005	-0.500
1.380	0.000	0.121	-0.001	-0.006	0.033	-0.111	0.500	-0.012	-0.500
1.385	0.000	0.121	-0.001	0.019	0.084	-0.118	0.500	-0.020	-0.500
1.390	0.000	0.122	-0.001	0.041	0.062	-0.069	0.500	0.001	-0.500
1.395	0.000	0.122	-0.001	0.091	0.069	-0.244	0.500	0.018	-0.500
1.400	0.000	0.122	-0.001	0.082	0.003	0.143	0.500	0.013	-0.500
1.405	0.000	0.122	-0.001	0.072	0.036	0.059	0.500	-0.006	-0.500
1.410	0.000	0.122	-0.001	-0.117	-0.004	0.080	0.500	0.011	-0.500
1.415	0.000	0.122	-0.001	-0.054	-0.079	-0.100	0.500	0.009	-0.500
1.420	0.000	0.123	-0.001	0.037	-0.061	0.065	0.500	-0.003	-0.500
1.425	0.000	0.123	-0.001	-0.087	0.039	0.084	0.500	-0.006	-0.500
1.430	0.000	0.123	-0.001	-0.005	0.093	0.163	0.500	-0.006	-0.500
1.435	0.000	0.123	-0.001	0.053	0.046	0.017	0.500	0.007	-0.500
1.440	0.000	0.123	-0.001	0.001	0.095	-0.224	0.500	0.005	-0.500
1.445	0.000	0.123	-0.001	0.116	0.084	-0.140	0.500	-0.007	-0.500
1.450	0.000	0.124	-0.001	0.007	-0.020	0.007	0.500	0.004	-0.500
1.455	0.000	0.124	-0.001	0.067	0.012	-0.149	0.500	-0.018	-0.500
1.460	0.000	0.124	-0.001	0.033	0.007	-0.013	0.500	-0.024	-0.500
1.465	0.000	0.124	-0.001	-0.015	0.051	0.076	0.500	0.008	-0.500
1.470	0.000	0.124	-0.001	-0.022	0.160	-0.016	0.500	0.006	-0.500
1.475	0.000	0.124	-0.001	0.038	-0.082	-0.225	0.500	-0.006	-0.500
1.480	0.000	0.124	-0.001	0.010	0.118	0.002	0.500	0.004	-0.500
1.485	0.000	0.124	-0.001	-0.039	0.075	0.005	0.500	-0.005	-0.500
1.490	0.000	0.124	-0.001	-0.093	0.048	0.116	0.500	0.006	-0.500
1.495	0.000	0.125	-0.001	0.014	0.077	0.007	0.500	-0.009	-0.500
1.500	0.000	0.125	-0.001	0.043	-0.003	0.000	0.500	-0.006	-0.500
1.505	0.000	0.125	-0.001	0.037	-0.026	0.082	0.500	0.004	-0.500
